Home Team,Road Team,Date,Sport
Kansas City Royals,Colorado Rockies,"June 02, 2023",Baseball
Los Angeles Dodgers,New York Yankees,"June 02, 2023",Baseball
Miami Marlins,Oakland Athletics,"June 02, 2023",Baseball
Minnesota Twins,Cleveland Guardians,"June 02, 2023",Baseball
New York Mets,Toronto Blue Jays,"June 02, 2023",Baseball
Pittsburgh Pirates,St. Louis Cardinals,"June 02, 2023",Baseball
San Diego Padres,Chicago Cubs,"June 02, 2023",Baseball
San Francisco Giants,Baltimore Orioles,"June 02, 2023",Baseball
Texas Rangers,Seattle Mariners,"June 02, 2023",Baseball
Washington Nationals,Philadelphia Phillies,"June 02, 2023",Baseball
Arizona Diamondbacks,Atlanta Braves,"June 03, 2023",Baseball
Boston Red Sox,Tampa Bay Rays,"June 03, 2023",Baseball
Boston Red Sox,Tampa Bay Rays,"June 03, 2023",Baseball
Chicago White Sox,Detroit Tigers,"June 03, 2023",Baseball
Cincinnati Reds,Milwaukee Brewers,"June 03, 2023",Baseball
Houston Astros,Los Angeles Angels,"June 03, 2023",Baseball
Kansas City Royals,Colorado Rockies,"June 03, 2023",Baseball
Los Angeles Dodgers,New York Yankees,"June 03, 2023",Baseball
Miami Marlins,Oakland Athletics,"June 03, 2023",Baseball
Minnesota Twins,Cleveland Guardians,"June 03, 2023",Baseball
New York Mets,Toronto Blue Jays,"June 03, 2023",Baseball
Pittsburgh Pirates,St. Louis Cardinals,"June 03, 2023",Baseball
San Diego Padres,Chicago Cubs,"June 03, 2023",Baseball
San Francisco Giants,Baltimore Orioles,"June 03, 2023",Baseball
Texas Rangers,Seattle Mariners,"June 03, 2023",Baseball
Washington Nationals,Philadelphia Phillies,"June 03, 2023",Baseball
Arizona Diamondbacks,Atlanta Braves,"June 04, 2023",Baseball
Boston Red Sox,Tampa Bay Rays,"June 04, 2023",Baseball
Chicago White Sox,Detroit Tigers,"June 04, 2023",Baseball
Cincinnati Reds,Milwaukee Brewers,"June 04, 2023",Baseball
Houston Astros,Los Angeles Angels,"June 04, 2023",Baseball
Kansas City Royals,Colorado Rockies,"June 04, 2023",Baseball
Los Angeles Dodgers,New York Yankees,"June 04, 2023",Baseball
Miami Marlins,Oakland Athletics,"June 04, 2023",Baseball
Minnesota Twins,Cleveland Guardians,"June 04, 2023",Baseball
New York Mets,Toronto Blue Jays,"June 04, 2023",Baseball
Pittsburgh Pirates,St. Louis Cardinals,"June 04, 2023",Baseball
San Diego Padres,Chicago Cubs,"June 04, 2023",Baseball
San Francisco Giants,Baltimore Orioles,"June 04, 2023",Baseball
Texas Rangers,Seattle Mariners,"June 04, 2023",Baseball
Washington Nationals,Philadelphia Phillies,"June 04, 2023",Baseball
Boston Red Sox,Tampa Bay Rays,"June 05, 2023",Baseball
Cincinnati Reds,Milwaukee Brewers,"June 05, 2023",Baseball
Miami Marlins,Kansas City Royals,"June 05, 2023",Baseball
Philadelphia Phillies,Detroit Tigers,"June 05, 2023",Baseball
Pittsburgh Pirates,Oakland Athletics,"June 05, 2023",Baseball
San Diego Padres,Chicago Cubs,"June 05, 2023",Baseball
Texas Rangers,St. Louis Cardinals,"June 05, 2023",Baseball
Toronto Blue Jays,Houston Astros,"June 05, 2023",Baseball
Los Angeles Angels,Chicago Cubs,"June 06, 2023",Baseball
Atlanta Braves,New York Mets,"June 06, 2023",Baseball
Cincinnati Reds,Los Angeles Dodgers,"June 06, 2023",Baseball
Cleveland Guardians,Boston Red Sox,"June 06, 2023",Baseball
Colorado Rockies,San Francisco Giants,"June 06, 2023",Baseball
Miami Marlins,Kansas City Royals,"June 06, 2023",Baseball
Milwaukee Brewers,Baltimore Orioles,"June 06, 2023",Baseball
New York Yankees,Chicago White Sox,"June 06, 2023",Baseball
Philadelphia Phillies,Detroit Tigers,"June 06, 2023",Baseball
Pittsburgh Pirates,Oakland Athletics,"June 06, 2023",Baseball
San Diego Padres,Seattle Mariners,"June 06, 2023",Baseball
Tampa Bay Rays,Minnesota Twins,"June 06, 2023",Baseball
Texas Rangers,St. Louis Cardinals,"June 06, 2023",Baseball
Toronto Blue Jays,Houston Astros,"June 06, 2023",Baseball
Washington Nationals,Arizona Diamondbacks,"June 06, 2023",Baseball
Los Angeles Angels,Chicago Cubs,"June 07, 2023",Baseball
Atlanta Braves,New York Mets,"June 07, 2023",Baseball
Cincinnati Reds,Los Angeles Dodgers,"June 07, 2023",Baseball
Cleveland Guardians,Boston Red Sox,"June 07, 2023",Baseball
Colorado Rockies,San Francisco Giants,"June 07, 2023",Baseball
Miami Marlins,Kansas City Royals,"June 07, 2023",Baseball
Milwaukee Brewers,Baltimore Orioles,"June 07, 2023",Baseball
Pittsburgh Pirates,Oakland Athletics,"June 07, 2023",Baseball
San Diego Padres,Seattle Mariners,"June 07, 2023",Baseball
Tampa Bay Rays,Minnesota Twins,"June 07, 2023",Baseball
Texas Rangers,St. Louis Cardinals,"June 07, 2023",Baseball
Toronto Blue Jays,Houston Astros,"June 07, 2023",Baseball
Washington Nationals,Arizona Diamondbacks,"June 07, 2023",Baseball
Los Angeles Angels,Chicago Cubs,"June 08, 2023",Baseball
Atlanta Braves,New York Mets,"June 08, 2023",Baseball
Cincinnati Reds,Los Angeles Dodgers,"June 08, 2023",Baseball
Cleveland Guardians,Boston Red Sox,"June 08, 2023",Baseball
Colorado Rockies,San Francisco Giants,"June 08, 2023",Baseball
Milwaukee Brewers,Baltimore Orioles,"June 08, 2023",Baseball
New York Yankees,Chicago White Sox,"June 08, 2023",Baseball
New York Yankees,Chicago White Sox,"June 08, 2023",Baseball
Philadelphia Phillies,Detroit Tigers,"June 08, 2023",Baseball
Tampa Bay Rays,Minnesota Twins,"June 08, 2023",Baseball
Toronto Blue Jays,Houston Astros,"June 08, 2023",Baseball
Los Angeles Angels,Seattle Mariners,"June 09, 2023",Baseball
Atlanta Braves,Washington Nationals,"June 09, 2023",Baseball
Baltimore Orioles,Kansas City Royals,"June 09, 2023",Baseball
Chicago White Sox,Miami Marlins,"June 09, 2023",Baseball
Cleveland Guardians,Houston Astros,"June 09, 2023",Baseball
Colorado Rockies,San Diego Padres,"June 09, 2023",Baseball
Detroit Tigers,Arizona Diamondbacks,"June 09, 2023",Baseball
Milwaukee Brewers,Oakland Athletics,"June 09, 2023",Baseball
New York Yankees,Boston Red Sox,"June 09, 2023",Baseball
Philadelphia Phillies,Los Angeles Dodgers,"June 09, 2023",Baseball
Pittsburgh Pirates,New York Mets,"June 09, 2023",Baseball
San Francisco Giants,Chicago Cubs,"June 09, 2023",Baseball
St. Louis Cardinals,Cincinnati Reds,"June 09, 2023",Baseball
Tampa Bay Rays,Texas Rangers,"June 09, 2023",Baseball
Toronto Blue Jays,Minnesota Twins,"June 09, 2023",Baseball
Los Angeles Angels,Seattle Mariners,"June 10, 2023",Baseball
Atlanta Braves,Washington Nationals,"June 10, 2023",Baseball
Baltimore Orioles,Kansas City Royals,"June 10, 2023",Baseball
Chicago White Sox,Miami Marlins,"June 10, 2023",Baseball
Cleveland Guardians,Houston Astros,"June 10, 2023",Baseball
Colorado Rockies,San Diego Padres,"June 10, 2023",Baseball
Detroit Tigers,Arizona Diamondbacks,"June 10, 2023",Baseball
Milwaukee Brewers,Oakland Athletics,"June 10, 2023",Baseball
New York Yankees,Boston Red Sox,"June 10, 2023",Baseball
Philadelphia Phillies,Los Angeles Dodgers,"June 10, 2023",Baseball
Pittsburgh Pirates,New York Mets,"June 10, 2023",Baseball
San Francisco Giants,Chicago Cubs,"June 10, 2023",Baseball
St. Louis Cardinals,Cincinnati Reds,"June 10, 2023",Baseball
Tampa Bay Rays,Texas Rangers,"June 10, 2023",Baseball
Toronto Blue Jays,Minnesota Twins,"June 10, 2023",Baseball
Los Angeles Angels,Seattle Mariners,"June 11, 2023",Baseball
Atlanta Braves,Washington Nationals,"June 11, 2023",Baseball
Baltimore Orioles,Kansas City Royals,"June 11, 2023",Baseball
Chicago White Sox,Miami Marlins,"June 11, 2023",Baseball
Cleveland Guardians,Houston Astros,"June 11, 2023",Baseball
Colorado Rockies,San Diego Padres,"June 11, 2023",Baseball
Detroit Tigers,Arizona Diamondbacks,"June 11, 2023",Baseball
Milwaukee Brewers,Oakland Athletics,"June 11, 2023",Baseball
New York Yankees,Boston Red Sox,"June 11, 2023",Baseball
Philadelphia Phillies,Los Angeles Dodgers,"June 11, 2023",Baseball
Pittsburgh Pirates,New York Mets,"June 11, 2023",Baseball
San Francisco Giants,Chicago Cubs,"June 11, 2023",Baseball
St. Louis Cardinals,Cincinnati Reds,"June 11, 2023",Baseball
Tampa Bay Rays,Texas Rangers,"June 11, 2023",Baseball
Toronto Blue Jays,Minnesota Twins,"June 11, 2023",Baseball
Arizona Diamondbacks,Philadelphia Phillies,"June 12, 2023",Baseball
Boston Red Sox,Colorado Rockies,"June 12, 2023",Baseball
Detroit Tigers,Atlanta Braves,"June 12, 2023",Baseball
Kansas City Royals,Cincinnati Reds,"June 12, 2023",Baseball
Oakland Athletics,Tampa Bay Rays,"June 12, 2023",Baseball
Seattle Mariners,Miami Marlins,"June 12, 2023",Baseball
St. Louis Cardinals,San Francisco Giants,"June 12, 2023",Baseball
Texas Rangers,Los Angeles Angels,"June 12, 2023",Baseball
Arizona Diamondbacks,Philadelphia Phillies,"June 13, 2023",Baseball
Baltimore Orioles,Toronto Blue Jays,"June 13, 2023",Baseball
Boston Red Sox,Colorado Rockies,"June 13, 2023",Baseball
Chicago Cubs,Pittsburgh Pirates,"June 13, 2023",Baseball
Houston Astros,Washington Nationals,"June 13, 2023",Baseball
Kansas City Royals,Cincinnati Reds,"June 13, 2023",Baseball
Los Angeles Dodgers,Chicago White Sox,"June 13, 2023",Baseball
Minnesota Twins,Milwaukee Brewers,"June 13, 2023",Baseball
New York Mets,New York Yankees,"June 13, 2023",Baseball
Oakland Athletics,Tampa Bay Rays,"June 13, 2023",Baseball
San Diego Padres,Cleveland Guardians,"June 13, 2023",Baseball
Seattle Mariners,Miami Marlins,"June 13, 2023",Baseball
St. Louis Cardinals,San Francisco Giants,"June 13, 2023",Baseball
Texas Rangers,Los Angeles Angels,"June 13, 2023",Baseball
Arizona Diamondbacks,Philadelphia Phillies,"June 14, 2023",Baseball
Baltimore Orioles,Toronto Blue Jays,"June 14, 2023",Baseball
Boston Red Sox,Colorado Rockies,"June 14, 2023",Baseball
Chicago Cubs,Pittsburgh Pirates,"June 14, 2023",Baseball
Detroit Tigers,Atlanta Braves,"June 14, 2023",Baseball
Detroit Tigers,Atlanta Braves,"June 14, 2023",Baseball
Houston Astros,Washington Nationals,"June 14, 2023",Baseball
Kansas City Royals,Cincinnati Reds,"June 14, 2023",Baseball
Los Angeles Dodgers,Chicago White Sox,"June 14, 2023",Baseball
Minnesota Twins,Milwaukee Brewers,"June 14, 2023",Baseball
New York Mets,New York Yankees,"June 14, 2023",Baseball
Oakland Athletics,Tampa Bay Rays,"June 14, 2023",Baseball
San Diego Padres,Cleveland Guardians,"June 14, 2023",Baseball
Seattle Mariners,Miami Marlins,"June 14, 2023",Baseball
St. Louis Cardinals,San Francisco Giants,"June 14, 2023",Baseball
Texas Rangers,Los Angeles Angels,"June 14, 2023",Baseball
Arizona Diamondbacks,Philadelphia Phillies,"June 15, 2023",Baseball
Atlanta Braves,Colorado Rockies,"June 15, 2023",Baseball
Baltimore Orioles,Toronto Blue Jays,"June 15, 2023",Baseball
Chicago Cubs,Pittsburgh Pirates,"June 15, 2023",Baseball
Houston Astros,Washington Nationals,"June 15, 2023",Baseball
Los Angeles Dodgers,Chicago White Sox,"June 15, 2023",Baseball
Minnesota Twins,Detroit Tigers,"June 15, 2023",Baseball
Oakland Athletics,Tampa Bay Rays,"June 15, 2023",Baseball
San Diego Padres,Cleveland Guardians,"June 15, 2023",Baseball
Texas Rangers,Los Angeles Angels,"June 15, 2023",Baseball
Arizona Diamondbacks,Cleveland Guardians,"June 16, 2023",Baseball
Atlanta Braves,Colorado Rockies,"June 16, 2023",Baseball
Boston Red Sox,New York Yankees,"June 16, 2023",Baseball
Chicago Cubs,Baltimore Orioles,"June 16, 2023",Baseball
Houston Astros,Cincinnati Reds,"June 16, 2023",Baseball
Kansas City Royals,Los Angeles Angels,"June 16, 2023",Baseball
Los Angeles Dodgers,San Francisco Giants,"June 16, 2023",Baseball
Milwaukee Brewers,Pittsburgh Pirates,"June 16, 2023",Baseball
Minnesota Twins,Detroit Tigers,"June 16, 2023",Baseball
New York Mets,St. Louis Cardinals,"June 16, 2023",Baseball
Oakland Athletics,Philadelphia Phillies,"June 16, 2023",Baseball
San Diego Padres,Tampa Bay Rays,"June 16, 2023",Baseball
Seattle Mariners,Chicago White Sox,"June 16, 2023",Baseball
Texas Rangers,Toronto Blue Jays,"June 16, 2023",Baseball
Washington Nationals,Miami Marlins,"June 16, 2023",Baseball
Arizona Diamondbacks,Cleveland Guardians,"June 17, 2023",Baseball
Atlanta Braves,Colorado Rockies,"June 17, 2023",Baseball
Chicago Cubs,Baltimore Orioles,"June 17, 2023",Baseball
Houston Astros,Cincinnati Reds,"June 17, 2023",Baseball
Kansas City Royals,Los Angeles Angels,"June 17, 2023",Baseball
Los Angeles Dodgers,San Francisco Giants,"June 17, 2023",Baseball
Milwaukee Brewers,Pittsburgh Pirates,"June 17, 2023",Baseball
Minnesota Twins,Detroit Tigers,"June 17, 2023",Baseball
New York Mets,St. Louis Cardinals,"June 17, 2023",Baseball
Oakland Athletics,Philadelphia Phillies,"June 17, 2023",Baseball
San Diego Padres,Tampa Bay Rays,"June 17, 2023",Baseball
Seattle Mariners,Chicago White Sox,"June 17, 2023",Baseball
Texas Rangers,Toronto Blue Jays,"June 17, 2023",Baseball
Washington Nationals,Miami Marlins,"June 17, 2023",Baseball
Arizona Diamondbacks,Cleveland Guardians,"June 18, 2023",Baseball
Atlanta Braves,Colorado Rockies,"June 18, 2023",Baseball
Boston Red Sox,New York Yankees,"June 18, 2023",Baseball
Boston Red Sox,New York Yankees,"June 18, 2023",Baseball
Chicago Cubs,Baltimore Orioles,"June 18, 2023",Baseball
Houston Astros,Cincinnati Reds,"June 18, 2023",Baseball
Kansas City Royals,Los Angeles Angels,"June 18, 2023",Baseball
Los Angeles Dodgers,San Francisco Giants,"June 18, 2023",Baseball
Milwaukee Brewers,Pittsburgh Pirates,"June 18, 2023",Baseball
Minnesota Twins,Detroit Tigers,"June 18, 2023",Baseball
New York Mets,St. Louis Cardinals,"June 18, 2023",Baseball
Oakland Athletics,Philadelphia Phillies,"June 18, 2023",Baseball
San Diego Padres,Tampa Bay Rays,"June 18, 2023",Baseball
Seattle Mariners,Chicago White Sox,"June 18, 2023",Baseball
Texas Rangers,Toronto Blue Jays,"June 18, 2023",Baseball
Washington Nationals,Miami Marlins,"June 18, 2023",Baseball
Chicago White Sox,Texas Rangers,"June 19, 2023",Baseball
Cincinnati Reds,Colorado Rockies,"June 19, 2023",Baseball
Detroit Tigers,Kansas City Royals,"June 19, 2023",Baseball
Houston Astros,New York Mets,"June 19, 2023",Baseball
Miami Marlins,Toronto Blue Jays,"June 19, 2023",Baseball
Milwaukee Brewers,Arizona Diamondbacks,"June 19, 2023",Baseball
Minnesota Twins,Boston Red Sox,"June 19, 2023",Baseball
Pittsburgh Pirates,Chicago Cubs,"June 19, 2023",Baseball
San Francisco Giants,San Diego Padres,"June 19, 2023",Baseball
Washington Nationals,St. Louis Cardinals,"June 19, 2023",Baseball
Los Angeles Angels,Los Angeles Dodgers,"June 20, 2023",Baseball
Chicago White Sox,Texas Rangers,"June 20, 2023",Baseball
Cincinnati Reds,Colorado Rockies,"June 20, 2023",Baseball
Cleveland Guardians,Oakland Athletics,"June 20, 2023",Baseball
Detroit Tigers,Kansas City Royals,"June 20, 2023",Baseball
Houston Astros,New York Mets,"June 20, 2023",Baseball
Miami Marlins,Toronto Blue Jays,"June 20, 2023",Baseball
Milwaukee Brewers,Arizona Diamondbacks,"June 20, 2023",Baseball
Minnesota Twins,Boston Red Sox,"June 20, 2023",Baseball
New York Yankees,Seattle Mariners,"June 20, 2023",Baseball
Philadelphia Phillies,Atlanta Braves,"June 20, 2023",Baseball
Pittsburgh Pirates,Chicago Cubs,"June 20, 2023",Baseball
San Francisco Giants,San Diego Padres,"June 20, 2023",Baseball
Tampa Bay Rays,Baltimore Orioles,"June 20, 2023",Baseball
Washington Nationals,St. Louis Cardinals,"June 20, 2023",Baseball
Los Angeles Angels,Los Angeles Dodgers,"June 21, 2023",Baseball
Chicago White Sox,Texas Rangers,"June 21, 2023",Baseball
Cincinnati Reds,Colorado Rockies,"June 21, 2023",Baseball
Cleveland Guardians,Oakland Athletics,"June 21, 2023",Baseball
Detroit Tigers,Kansas City Royals,"June 21, 2023",Baseball
Houston Astros,New York Mets,"June 21, 2023",Baseball
Miami Marlins,Toronto Blue Jays,"June 21, 2023",Baseball
Milwaukee Brewers,Arizona Diamondbacks,"June 21, 2023",Baseball
Minnesota Twins,Boston Red Sox,"June 21, 2023",Baseball
New York Yankees,Seattle Mariners,"June 21, 2023",Baseball
Pittsburgh Pirates,Chicago Cubs,"June 21, 2023",Baseball
San Francisco Giants,San Diego Padres,"June 21, 2023",Baseball
Tampa Bay Rays,Baltimore Orioles,"June 21, 2023",Baseball
Washington Nationals,St. Louis Cardinals,"June 21, 2023",Baseball
Cleveland Guardians,Oakland Athletics,"June 22, 2023",Baseball
Miami Marlins,Pittsburgh Pirates,"June 22, 2023",Baseball
Minnesota Twins,Boston Red Sox,"June 22, 2023",Baseball
New York Yankees,Seattle Mariners,"June 22, 2023",Baseball
Philadelphia Phillies,Atlanta Braves,"June 22, 2023",Baseball
San Francisco Giants,San Diego Padres,"June 22, 2023",Baseball
Tampa Bay Rays,Kansas City Royals,"June 22, 2023",Baseball
Washington Nationals,Arizona Diamondbacks,"June 22, 2023",Baseball
Baltimore Orioles,Seattle Mariners,"June 23, 2023",Baseball
Chicago White Sox,Boston Red Sox,"June 23, 2023",Baseball
Cincinnati Reds,Atlanta Braves,"June 23, 2023",Baseball
Cleveland Guardians,Milwaukee Brewers,"June 23, 2023",Baseball
Colorado Rockies,Los Angeles Angels,"June 23, 2023",Baseball
Detroit Tigers,Minnesota Twins,"June 23, 2023",Baseball
Los Angeles Dodgers,Houston Astros,"June 23, 2023",Baseball
Miami Marlins,Pittsburgh Pirates,"June 23, 2023",Baseball
New York Yankees,Texas Rangers,"June 23, 2023",Baseball
Philadelphia Phillies,New York Mets,"June 23, 2023",Baseball
San Diego Padres,Washington Nationals,"June 23, 2023",Baseball
San Francisco Giants,Arizona Diamondbacks,"June 23, 2023",Baseball
Tampa Bay Rays,Kansas City Royals,"June 23, 2023",Baseball
Toronto Blue Jays,Oakland Athletics,"June 23, 2023",Baseball
Baltimore Orioles,Seattle Mariners,"June 24, 2023",Baseball
Chicago White Sox,Boston Red Sox,"June 24, 2023",Baseball
Cincinnati Reds,Atlanta Braves,"June 24, 2023",Baseball
Cleveland Guardians,Milwaukee Brewers,"June 24, 2023",Baseball
Colorado Rockies,Los Angeles Angels,"June 24, 2023",Baseball
Detroit Tigers,Minnesota Twins,"June 24, 2023",Baseball
Los Angeles Dodgers,Houston Astros,"June 24, 2023",Baseball
Miami Marlins,Pittsburgh Pirates,"June 24, 2023",Baseball
New York Yankees,Texas Rangers,"June 24, 2023",Baseball
Philadelphia Phillies,New York Mets,"June 24, 2023",Baseball
San Diego Padres,Washington Nationals,"June 24, 2023",Baseball
San Francisco Giants,Arizona Diamondbacks,"June 24, 2023",Baseball
St. Louis Cardinals,Chicago Cubs,"June 24, 2023",Baseball
Tampa Bay Rays,Kansas City Royals,"June 24, 2023",Baseball
Toronto Blue Jays,Oakland Athletics,"June 24, 2023",Baseball
Baltimore Orioles,Seattle Mariners,"June 25, 2023",Baseball
Chicago White Sox,Boston Red Sox,"June 25, 2023",Baseball
Cincinnati Reds,Atlanta Braves,"June 25, 2023",Baseball
Cleveland Guardians,Milwaukee Brewers,"June 25, 2023",Baseball
Colorado Rockies,Los Angeles Angels,"June 25, 2023",Baseball
Detroit Tigers,Minnesota Twins,"June 25, 2023",Baseball
Los Angeles Dodgers,Houston Astros,"June 25, 2023",Baseball
Miami Marlins,Pittsburgh Pirates,"June 25, 2023",Baseball
New York Yankees,Texas Rangers,"June 25, 2023",Baseball
Philadelphia Phillies,New York Mets,"June 25, 2023",Baseball
San Diego Padres,Washington Nationals,"June 25, 2023",Baseball
San Francisco Giants,Arizona Diamondbacks,"June 25, 2023",Baseball
St. Louis Cardinals,Chicago Cubs,"June 25, 2023",Baseball
Tampa Bay Rays,Kansas City Royals,"June 25, 2023",Baseball
Toronto Blue Jays,Oakland Athletics,"June 25, 2023",Baseball
Los Angeles Angels,Chicago White Sox,"June 26, 2023",Baseball
Atlanta Braves,Minnesota Twins,"June 26, 2023",Baseball
Baltimore Orioles,Cincinnati Reds,"June 26, 2023",Baseball
New York Mets,Milwaukee Brewers,"June 26, 2023",Baseball
Seattle Mariners,Washington Nationals,"June 26, 2023",Baseball
Texas Rangers,Detroit Tigers,"June 26, 2023",Baseball
Los Angeles Angels,Chicago White Sox,"June 27, 2023",Baseball
Arizona Diamondbacks,Tampa Bay Rays,"June 27, 2023",Baseball
Atlanta Braves,Minnesota Twins,"June 27, 2023",Baseball
Baltimore Orioles,Cincinnati Reds,"June 27, 2023",Baseball
Boston Red Sox,Miami Marlins,"June 27, 2023",Baseball
Chicago Cubs,Philadelphia Phillies,"June 27, 2023",Baseball
Colorado Rockies,Los Angeles Dodgers,"June 27, 2023",Baseball
Kansas City Royals,Cleveland Guardians,"June 27, 2023",Baseball
New York Mets,Milwaukee Brewers,"June 27, 2023",Baseball
Oakland Athletics,New York Yankees,"June 27, 2023",Baseball
Pittsburgh Pirates,San Diego Padres,"June 27, 2023",Baseball
Seattle Mariners,Washington Nationals,"June 27, 2023",Baseball
St. Louis Cardinals,Houston Astros,"June 27, 2023",Baseball
Texas Rangers,Detroit Tigers,"June 27, 2023",Baseball
Toronto Blue Jays,San Francisco Giants,"June 27, 2023",Baseball
Los Angeles Angels,Chicago White Sox,"June 28, 2023",Baseball
Arizona Diamondbacks,Tampa Bay Rays,"June 28, 2023",Baseball
Atlanta Braves,Minnesota Twins,"June 28, 2023",Baseball
Baltimore Orioles,Cincinnati Reds,"June 28, 2023",Baseball
Boston Red Sox,Miami Marlins,"June 28, 2023",Baseball
Chicago Cubs,Philadelphia Phillies,"June 28, 2023",Baseball
Colorado Rockies,Los Angeles Dodgers,"June 28, 2023",Baseball
Kansas City Royals,Cleveland Guardians,"June 28, 2023",Baseball
New York Mets,Milwaukee Brewers,"June 28, 2023",Baseball
Oakland Athletics,New York Yankees,"June 28, 2023",Baseball
Pittsburgh Pirates,San Diego Padres,"June 28, 2023",Baseball
Seattle Mariners,Washington Nationals,"June 28, 2023",Baseball
St. Louis Cardinals,Houston Astros,"June 28, 2023",Baseball
Texas Rangers,Detroit Tigers,"June 28, 2023",Baseball
Toronto Blue Jays,San Francisco Giants,"June 28, 2023",Baseball
Los Angeles Angels,Chicago White Sox,"June 29, 2023",Baseball
Arizona Diamondbacks,Tampa Bay Rays,"June 29, 2023",Baseball
Boston Red Sox,Miami Marlins,"June 29, 2023",Baseball
Chicago Cubs,Philadelphia Phillies,"June 29, 2023",Baseball
Colorado Rockies,Los Angeles Dodgers,"June 29, 2023",Baseball
Kansas City Royals,Cleveland Guardians,"June 29, 2023",Baseball
New York Mets,Milwaukee Brewers,"June 29, 2023",Baseball
Oakland Athletics,New York Yankees,"June 29, 2023",Baseball
Pittsburgh Pirates,San Diego Padres,"June 29, 2023",Baseball
St. Louis Cardinals,Houston Astros,"June 29, 2023",Baseball
Texas Rangers,Detroit Tigers,"June 29, 2023",Baseball
Toronto Blue Jays,San Francisco Giants,"June 29, 2023",Baseball
Los Angeles Angels,Arizona Diamondbacks,"June 30, 2023",Baseball
Atlanta Braves,Miami Marlins,"June 30, 2023",Baseball
Baltimore Orioles,Minnesota Twins,"June 30, 2023",Baseball
Chicago Cubs,Cleveland Guardians,"June 30, 2023",Baseball
Cincinnati Reds,San Diego Padres,"June 30, 2023",Baseball
Colorado Rockies,Detroit Tigers,"June 30, 2023",Baseball
Kansas City Royals,Los Angeles Dodgers,"June 30, 2023",Baseball
New York Mets,San Francisco Giants,"June 30, 2023",Baseball
Oakland Athletics,Chicago White Sox,"June 30, 2023",Baseball
Philadelphia Phillies,Washington Nationals,"June 30, 2023",Baseball
Pittsburgh Pirates,Milwaukee Brewers,"June 30, 2023",Baseball
Seattle Mariners,Tampa Bay Rays,"June 30, 2023",Baseball
Texas Rangers,Houston Astros,"June 30, 2023",Baseball
Toronto Blue Jays,Boston Red Sox,"June 30, 2023",Baseball
Los Angeles Angels,Arizona Diamondbacks,"July 01, 2023",Baseball
Atlanta Braves,Miami Marlins,"July 01, 2023",Baseball
Baltimore Orioles,Minnesota Twins,"July 01, 2023",Baseball
Chicago Cubs,Cleveland Guardians,"July 01, 2023",Baseball
Cincinnati Reds,San Diego Padres,"July 01, 2023",Baseball
Colorado Rockies,Detroit Tigers,"July 01, 2023",Baseball
Kansas City Royals,Los Angeles Dodgers,"July 01, 2023",Baseball
New York Mets,San Francisco Giants,"July 01, 2023",Baseball
Oakland Athletics,Chicago White Sox,"July 01, 2023",Baseball
Philadelphia Phillies,Washington Nationals,"July 01, 2023",Baseball
Pittsburgh Pirates,Milwaukee Brewers,"July 01, 2023",Baseball
Seattle Mariners,Tampa Bay Rays,"July 01, 2023",Baseball
St. Louis Cardinals,New York Yankees,"July 01, 2023",Baseball
St. Louis Cardinals,New York Yankees,"July 01, 2023",Baseball
Texas Rangers,Houston Astros,"July 01, 2023",Baseball
Toronto Blue Jays,Boston Red Sox,"July 01, 2023",Baseball
Los Angeles Angels,Arizona Diamondbacks,"July 02, 2023",Baseball
Atlanta Braves,Miami Marlins,"July 02, 2023",Baseball
Baltimore Orioles,Minnesota Twins,"July 02, 2023",Baseball
Chicago Cubs,Cleveland Guardians,"July 02, 2023",Baseball
Cincinnati Reds,San Diego Padres,"July 02, 2023",Baseball
Colorado Rockies,Detroit Tigers,"July 02, 2023",Baseball
Kansas City Royals,Los Angeles Dodgers,"July 02, 2023",Baseball
New York Mets,San Francisco Giants,"July 02, 2023",Baseball
Oakland Athletics,Chicago White Sox,"July 02, 2023",Baseball
Philadelphia Phillies,Washington Nationals,"July 02, 2023",Baseball
Pittsburgh Pirates,Milwaukee Brewers,"July 02, 2023",Baseball
Seattle Mariners,Tampa Bay Rays,"July 02, 2023",Baseball
St. Louis Cardinals,New York Yankees,"July 02, 2023",Baseball
Texas Rangers,Houston Astros,"July 02, 2023",Baseball
Toronto Blue Jays,Boston Red Sox,"July 02, 2023",Baseball
Cleveland Guardians,Atlanta Braves,"July 03, 2023",Baseball
Los Angeles Dodgers,Pittsburgh Pirates,"July 03, 2023",Baseball
Miami Marlins,St. Louis Cardinals,"July 03, 2023",Baseball
Milwaukee Brewers,Chicago Cubs,"July 03, 2023",Baseball
Minnesota Twins,Kansas City Royals,"July 03, 2023",Baseball
New York Yankees,Baltimore Orioles,"July 03, 2023",Baseball
San Diego Padres,Los Angeles Angels,"July 03, 2023",Baseball
San Francisco Giants,Seattle Mariners,"July 03, 2023",Baseball
Texas Rangers,Houston Astros,"July 03, 2023",Baseball
Washington Nationals,Cincinnati Reds,"July 03, 2023",Baseball
Arizona Diamondbacks,New York Mets,"July 04, 2023",Baseball
Boston Red Sox,Texas Rangers,"July 04, 2023",Baseball
Chicago White Sox,Toronto Blue Jays,"July 04, 2023",Baseball
Cleveland Guardians,Atlanta Braves,"July 04, 2023",Baseball
Detroit Tigers,Oakland Athletics,"July 04, 2023",Baseball
Houston Astros,Colorado Rockies,"July 04, 2023",Baseball
